GroupName, GroupOrder, E(G)value, E(G)value_decimal
S81,162,726/23,31.565217391304348
S82,164,5086/163,31.20245398773006
S83,166,2324/55,42.254545454545458
S84,168,3478/167,20.82634730538922
S85,170,454/13,34.92307692307692
S86,172,1864/57,32.701754385964911
S87,174,5864/173,33.895953757225435
S88,176,4948/175,28.274285714285714
S89,178,2670/59,45.254237288135592
S90,180,4022/179,22.46927374301676
S91,182,6932/181,38.298342541436462
S92,184,1920/61,31.475409836065573
S93,186,6702/185,36.227027027027027
S94,188,6676/187,35.700534759358291
S95,190,352/9,39.111111111111114
S96,192,4972/191,26.031413612565444
S97,194,9506/193,49.253886010362692
S98,196,2166/65,33.323076923076925
S99,198,6968/197,35.370558375634516
S100,200,5930/199,29.798994974874372
S101,202,3434/67,51.253731343283583
S102,204,848/29,29.241379310344829
S103,206,10712/205,52.253658536585363
S104,208,6958/207,33.613526570048307
S105,210,6530/209,31.244019138755981
S106,212,8482/211,40.199052132701425
S107,214,3852/71,54.25352112676056
S108,216,6232/215,28.986046511627908
S109,218,11990/217,55.253456221198157
S110,220,2404/73,32.93150684931507
S111,222,9552/221,43.221719457013577
S112,224,7576/223,33.973094170403584
S113,226,4294/75,57.25333333333333
S114,228,7430/227,32.731277533039645
S115,230,10876/229,47.493449781659386
S116,232,278/7,39.714285714285715
S117,234,9810/233,42.103004291845494
S118,236,10504/235,44.697872340425533
S119,238,3992/79,50.531645569620252
S120,240,6560/239,27.447698744769873
S121,242,13662/241,56.688796680497923
S122,244,3742/81,46.197530864197532
S123,246,1676/35,47.885714285714286
S124,248,552/13,42.46153846153846
S125,250,13270/249,53.293172690763051
S126,252,8120/251,32.350597609561753
S127,254,16256/253,64.252964426877469
S128,256,3726/85,43.835294117647059
S129,258,12906/257,50.217898832684824
S130,260,1450/37,39.189189189189186
S131,262,5764/87,66.252873563218387
S132,264,8810/263,33.49809885931559
S133,266,15014/265,56.656603773584905
S134,268,4512/89,50.696629213483149
S135,270,11756/269,43.702602230483272
S136,272,12010/271,44.317343173431738
S137,274,6302/91,69.252747252747255
S138,276,10922/275,39.716363636363639
S139,278,19460/277,70.25270758122744
S140,280,3404/93,36.602150537634408
S141,282,15422/281,54.882562277580071
S142,284,15196/283,53.696113074204945
S143,286,5904/95,62.147368421052633
S144,288,10718/287,37.344947735191639
S145,290,17362/289,60.076124567474047
S146,292,5354/97,55.195876288659797
S147,294,15000/293,51.194539249146757
S148,296,14958/295,50.705084745762711
S149,298,7450/99,75.252525252525245
S150,300,11240/299,37.591973244147155
S151,302,22952/301,76.252491694352159
S152,304,15052/303,49.676567656765677
S153,306,278/5,55.600000000000001
S154,308,14626/307,47.641693811074916
S155,310,6620/103,64.271844660194176
S156,312,12400/311,39.871382636655952
S157,314,24806/313,79.25239616613419
S158,316,6268/105,59.695238095238096
S159,318,19616/317,61.880126182965299
S160,320,14662/319,45.962382445141067
S161,322,7374/107,68.915887850467286
S162,324,794/17,46.705882352941174
S163,326,26732/325,82.252307692307696
S164,328,6126/109,56.201834862385319
S165,330,2378/47,50.595744680851062
S166,332,20752/331,62.694864048338367
S167,334,9352/111,84.252252252252248
S168,336,13278/335,39.635820895522386
S169,338,26858/337,79.697329376854597
