GroupName, GroupOrder, AvgElementOrder, isElemAbel2
((C4 x C2 x C2) : C2) : C2, 64, 271/64, true
(Q8 : C4) : C2, 64, 303/64, true
(C8 : C4) : C2, 64, 295/64, true
(C8 : C4) : C2, 64, 295/64, true
(C8 : C4) : C2, 64, 295/64, true
((C8 x C2) : C2) : C2, 64, 287/64, true
((C8 x C2) : C2) : C2, 64, 287/64, true
((C8 x C2) : C2) : C2, 64, 287/64, true
(Q8 : C4) : C2, 64, 303/64, true
(Q8 : C4) : C2, 64, 303/64, true
(Q8 : C4) : C2, 64, 303/64, true
((C8 x C2) : C2) : C2, 64, 279/64, true
(C8 x C4) : C2, 64, 295/64, true
(C8 : C4) : C2, 64, 295/64, true
((C8 x C2) : C2) : C2, 64, 279/64, true
(C2 x QD16) : C2, 64, 279/64, true
((C4 x C4) : C2) : C2, 64, 247/64, true
((C4 x C4) : C2) : C2, 64, 279/64, true
((C4 x C4) : C2) : C2, 64, 263/64, true
(C4 : Q8) : C2, 64, 295/64, true
C4 x C4 x C2 x C2, 64, 223/64, true
C2 x C2 x ((C4 x C2) : C2), 64, 191/64, true
C2 x C2 x (C4 : C4), 64, 223/64, true
C2 x ((C4 x C4) : C2), 64, 223/64, true
C2 x C4 x D8, 64, 207/64, true
C2 x C4 x Q8, 64, 239/64, true
C4 x ((C4 x C2) : C2), 64, 223/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 207/64, true
(C4 x Q8) : C2, 64, 239/64, true
((C4 x C4) : C2) : C2, 64, 223/64, true
C2 x ((C2 x C2 x C2 x C2) : C2), 64, 175/64, true
C2 x ((C4 x C2 x C2) : C2), 64, 191/64, true
C2 x ((C2 x Q8) : C2), 64, 223/64, true
C2 x ((C4 x C2 x C2) : C2), 64, 207/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 207/64, true
C2 x ((C4 x C4) : C2), 64, 207/64, true
C2 x ((C2 x C2) . (C2 x C2 x C2)), 64, 239/64, true
C2 x ((C4 x C4) : C2), 64, 223/64, true
((C4 x C4) : C2) : C2, 64, 223/64, true
C2 x ((C4 x C4) : C2), 64, 175/64, true
C2 x (C4 : Q8), 64, 239/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 207/64, true
(C4 x Q8) : C2, 64, 239/64, true
(C2 x C2 x D8) : C2, 64, 191/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 191/64, true
((C4 x C4) : C2) : C2, 64, 223/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 207/64, true
(C4 x D8) : C2, 64, 207/64, true
(C4 x D8) : C2, 64, 223/64, true
(C4 x D8) : C2, 64, 207/64, true
(C4 x Q8) : C2, 64, 239/64, true
(C4 x D8) : C2, 64, 223/64, true
((C2 x Q8) : C2) : C2, 64, 223/64, true
(C4 : Q8) : C2, 64, 239/64, true
D8 x D8, 64, 183/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 199/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 215/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 215/64, true
Q8 x D8, 64, 231/64, true
(C2 x ((C4 x C2) : C2)) : C2, 64, 199/64, true
((C4 x C4) : C2) : C2, 64, 215/64, true
((C4 x C4) : C2) : C2, 64, 231/64, true
((C4 x C4) : C2) : C2, 64, 215/64, true
(C2 x (C4 : C4)) : C2, 64, 231/64, true
((C4 x C4) : C2) : C2, 64, 215/64, true
((C4 x C4) : C2) : C2, 64, 231/64, true
Q8 : Q8, 64, 247/64, true
Q8 x Q8, 64, 247/64, true
(C4 x D8) : C2, 64, 215/64, true
((C4 x C2 x C2) : C2) : C2, 64, 199/64, true
((C4 x C4) : C2) : C2, 64, 199/64, true
